Wall time,Step,Value
1638620256.0433652,1000,7.878418445587158
1638620500.1335669,4000,7.697742462158203
1638620739.8140779,7000,7.212662220001221
1638620979.7812123,10000,6.8603515625
1638621219.5116184,13000,6.623247146606445
1638621459.6558864,16000,5.149139404296875
1638621699.2579975,19000,3.9934256076812744
1638621939.5055392,22000,5.359941482543945
1638622179.271734,25000,4.206961631774902
1638622419.4937465,28000,4.488773345947266
1638622659.2485032,31000,3.9818320274353027
1638622899.4329717,34000,4.07313871383667
1638623139.2474566,37000,3.2997381687164307
1638623379.4482727,40000,4.079560279846191
1638623619.1645238,43000,4.159622669219971
1638623859.396064,46000,4.178648471832275
1638624099.2673495,49000,3.2530345916748047
1638624339.4316115,52000,3.935234785079956
1638624579.1429873,55000,3.686999559402466
1638624819.3510523,58000,3.0956592559814453
1638625059.1674728,61000,4.397171974182129
1638625299.2662904,64000,3.003671169281006
1638625538.916741,67000,2.8863563537597656
1638625778.9230556,70000,3.0678699016571045
1638626258.8695662,76000,3.3488516807556152
1638626498.6074517,79000,3.2354345321655273
1638626738.7800431,82000,3.146660566329956
1638626978.657242,85000,3.6555981636047363
1638627218.7618756,88000,2.5947797298431396
1638627458.4681427,91000,3.7942140102386475
1638627698.67705,94000,2.809102773666382
1638627938.4093187,97000,2.098475694656372
1638628189.744843,100000,2.354098081588745
1638628429.5559838,103000,2.4160821437835693
1638628669.6191244,106000,3.458724021911621
1638628909.4178128,109000,3.1041719913482666
1638629149.5571249,112000,1.9310742616653442
1638629389.3264184,115000,2.5518853664398193
1638629629.612968,118000,3.3496670722961426
1638629869.5902755,121000,3.6106436252593994
1638630109.9153085,124000,2.000434160232544
1638630349.6117558,127000,2.9053759574890137
1638630589.869974,130000,2.5180392265319824
1638630829.6233444,133000,2.284123659133911
1638631069.8017251,136000,2.726940870285034
1638631309.7511847,139000,3.0103418827056885
1638631550.080587,142000,3.6545684337615967
1638631790.010567,145000,1.8247846364974976
1638632030.4289434,148000,2.4843509197235107
1638632270.4616494,151000,2.0111939907073975
1638632510.5285714,154000,1.889059066772461
